"Concentrate all your thoughts upon the work in hand. The sun's rays do not burn until brought to focus. " — Alexander Graham Bell
"Either you run the day or the day runs you." — Jim Rohn
"I’m a greater believer in luck, and I find the harder I work the more I have of it." — Thomas Jefferson
"When we strive to become better than we are, everything around us becomes better too." — Paulo Coelho
"Opportunity is missed by most people because it is dressed in overalls and looks like work." — Thomas Edison
"Setting goals is the first step in turning the invisible into the visible." — Tony Robbins
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it." — Steve Jobs
"It’s not about better time management. It’s about better life management" — Alexandra of The Productivity Zone
"The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty." — Winston Churchill
"Don’t let yesterday take up too much of today." — Will Rogers
"You learn more from failure than from success. Don’t let it stop you. Failure builds character." — Unknown 
"If you are working on something that you really care about, you don’t have to be pushed. The vision pulls you." — Steve Jobs
"Experience is a hard teacher because she gives the test first, the lesson afterwards." — Vernon Sanders Law
"To know how much there is to know is the beginning of learning to live." — Dorothy West
"Goal setting is the secret to a compelling future." — Tony Robbins
"Success is not final; failure is not fatal: It is the courage to continue that counts." — Winston S. Churchill
"It is better to fail in originality than to succeed in imitation." — Herman Melville
"The road to success and the road to failure are almost exactly the same." — Colin R. Davis
"Success usually comes to those who are too busy looking for it." — Henry David Thoreau
"Develop success from failures. Discouragement and failure are two of the surest stepping stones to success." — Dale Carnegie
"There are three ways to ultimate success: The first way is to be kind. The second way is to be kind. The third way is to be kind." — Mister Rogers
"Success is peace of mind, which is a direct result of self-satisfaction in knowing you made the effort to become the best of which you are capable." — John Wooden
"I never dreamed about success. I worked for it." — Estée Lauder
"Success is getting what you want, happiness is wanting what you get." — W. P. Kinsella
"The elevator to success is out of order. You’ll have to use the stairs, one step at a time." — Joe Girard
"Be a positive energy trampoline – absorb what you need and rebound more back." — Dave Carolan
"People often say that motivation doesn’t last. Well, neither does bathing – that’s why we recommend it daily." — Zig Ziglar
"Work until your bank account looks like a phone number." — Unknown 
"I am so clever that sometimes I don’t understand a single word of what I am saying." — Oscar Wilde
"People say nothing is impossible, but I do nothing every day." — Winnie the Pooh
"Life is like a sewer… what you get out of it depends on what you put into it." — Tom Lehrer
"I always wanted to be somebody, but now I realise I should have been more specific." — Lily Tomlin
"Don't look at your feet to see if you are doing it right. Just dance." — Anne Lamott
"Someone's sitting in the shade today because someone planted a tree a long time ago." — Warren Buffet
"True freedom is impossible without a mind made free by discipline." — Mortimer J. Adler
"Rivers know this: there is no hurry. We shall get there some day." — A.A. Milne
"Small is not just a stepping-stone. Small is a great destination itself." — Jason Fried
"He that can have patience can have what he will." — Benjamin Franklin
"The only one who can tell you "you can’t win" is you and you don’t have to listen." — Jessica Ennis
"Set your goals high, and don’t stop till you get there." — Bo Jackson
"Take your victories, whatever they may be, cherish them, use them, but don’t settle for them." — Mia Hamm
"Failure is simply the opportunity to begin again, this time more intelligently." — Henry Ford
"Our greatest glory is not in never falling, but in rising every time we fall." — Confucius 
"If you change the way you look at things, the things you look at change." — Wayne Dyer
"We must reach out our hand in friendship and dignity both to those who would befriend us and those who would be our enemy." — Arthur Ashe
"It's fine to celebrate success but it is more important to heed the lessons of failure." — Bill Gates
"I can’t tell you how many times I’ve been given a no. Only to find that a better, brighter, bigger yes was right around the corner." — Arlan Hamilton
"We need to accept that we won’t always make the right decisions, that we’ll screw up royally sometimes – understanding that failure is not the opposite of success, it’s part of success." — Ariana Huffington
"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it." — Henry Ford
"You cannot always control what goes on outside. But you can always control what goes on inside." — Wayne Dyer
"We are what we repeatedly do. Excellence, then, is not an act, but a habit." — Aristotle
"Start where you are. Use what you have. Do what you can." — Arthur Ashe
"Hustle beats talent when talent doesn’t hustle" — Ross Simmonds
